Age,CurrentGender,Sex,MaritalStatus,RaceEthnicity,Political,SocialGroup,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,NFCMean,RFMean,JudgeMean,PersonalRecallMean,SocialRecallMean,PersonalPredictMean,SocialPredictMean
35,1,1,1,White,7,0,4.6,2.5,2.5,2.25,2.75,1.25,2.5,4.666666667,58.92857143,6.071428571,6.714285714,6,6.777777778
42,2,2,1,White,5,1,3.1,2.25,2.75,3.25,2.5,1.75,2.666666667,5.25,33.21428571,4.571428571,5.071428571,4.357142857,4.714285714
65,1,1,3,Black,2,0,1.5,4.5,3.5,4.5,0.75,4,3.5,6.75,-8.928571429,1.857142857,2.928571429,1.666666667,2.555555556
37,2,2,2,White,4,1,2.3,1.5,2.75,2.5,3,2.5,1.666666667,0.833333333,-74.85714286,1.214285714,4.357142857,1.357142857,4.142857143
47,2,2,2,Black,2,1,1.2,2.5,2.5,2.5,2.5,2.25,2.111111111,4.416666667,42.21428571,3.071428571,3.571428571,3.357142857,4
50,2,2,5,White,6,0,1.3,3.5,4,3.5,1.25,3.25,2.666666667,7.5,-53.5,2.5,3.714285714,2.222222222,3.555555556
42,1,1,1,White,4,1,3.4,3.75,4.25,4,1.75,3.75,3.166666667,7.333333333,33.5,4.214285714,4.857142857,4.428571429,5.285714286
35,1,1,1,White,7,1,4.1,2.5,2.5,2.25,2.5,1.5,2.722222222,4.333333333,100,6.785714286,6.285714286,6.928571429,6.071428571
73,1,1,1,White,4,0,1.1,2.75,3.75,3.5,0.75,3.25,3.222222222,2.833333333,-63.28571429,1.642857143,3.071428571,1.777777778,3.222222222
35,2,2,2,White,4,0,1.6,2,3.75,3.25,2.25,3.25,2.722222222,4.166666667,-56.14285714,3.642857143,3.642857143,3.666666667,3.333333333
72,1,1,1,White,3,0,1,2.75,3,2.5,2,3.75,3.111111111,4.333333333,-94.57142857,1.5,3.357142857,1.555555556,2.888888889
49,2,2,1,White,7,1,2.2,0.75,3,3.25,4.25,3,1.555555556,8.5,68.57142857,1.142857143,1,1.071428571,1
50,2,2,5,White,1,0,3.2,2.5,4.25,2.75,2.5,2,2.944444444,5.5,-52.21428571,4.214285714,5.285714286,4.333333333,4.777777778
74,2,2,1,White,7,1,1.1,1.75,3.5,2.5,2,2,1.388888889,8.25,-18.71428571,2.142857143,1.357142857,2.714285714,1.357142857
59,2,2,1,White,7,1,1.2,3.5,4.5,4.5,2,3.5,3.277777778,6.5,-71.42857143,2.571428571,4.857142857,2.142857143,4.714285714
55,2,2,2,White,6,0,1.5,1,2.75,4,2.5,1.75,1.5,3.333333333,-82.21428571,1.714285714,5.928571429,1.222222222,5.666666667
66,2,2,5,White,4,0,1,2.5,3.25,1.75,1.75,2.25,2.277777778,2.75,-73.21428571,1.5,3.714285714,1.888888889,5.111111111
60,2,2,1,White,4,1,2.2,1.75,2.5,3.5,2.25,2,2.277777778,5.25,-37.92857143,3.285714286,3.5,3.071428571,3.642857143
71,1,1,1,White,3,1,1.2,1.25,2.5,3.25,1.25,3.75,3,1.416666667,-80.21428571,2.928571429,4.928571429,2.071428571,4.285714286
53,2,2,3,White,7,0,2,3,3.75,2.75,2.75,2.75,2.611111111,3.583333333,-28.57142857,2.642857143,4.142857143,2.555555556,3.666666667
40,1,1,2,White,3,1,3.2,2.75,3.5,3.75,3.25,4.25,4.055555556,1.166666667,-29.28571429,2.857142857,3.642857143,3.071428571,3.571428571
48,2,2,2,White,1,1,2.3,1.5,4.5,3.25,2.25,4.25,2.611111111,1.166666667,-28.71428571,3.142857143,3.714285714,3.571428571,3.857142857
19,2,2,2,Asian,4,0,1.5,0.75,0.75,2.25,2,2.5,2.611111111,3.666666667,-30.5,3.357142857,4.571428571,3.666666667,4.555555556
84,1,1,1,White,7,1,2,0.5,2.25,2.75,4,2.5,2.111111111,4.166666667,-66.21428571,2.357142857,4,2.214285714,3.357142857
22,2,2,2,Black,1,1,1.8,1,3.25,2.5,3.25,2.75,1.666666667,0.833333333,-94.14285714,2,1.714285714,1.642857143,1.714285714
25,1,1,2,Black,4,1,3.3,3,2.25,3,2.25,2.5,2.777777778,5.166666667,11.21428571,3.714285714,4.142857143,4.142857143,4.285714286
67,2,2,1,White,7,0,1,2.75,3.5,3.5,1.5,2.75,1.888888889,6.333333333,-56.92857143,1.857142857,6.428571429,2.444444444,6.777777778
28,2,2,1,White,4,0,2,3,3,3.25,2.5,2.75,2.5,6.333333333,-63.07142857,2.357142857,3.642857143,3.555555556,4.888888889
66,2,2,1,White,6,0,1.9,1,3.5,3.75,3.75,3.25,2.5,4.25,-76,2.214285714,3.428571429,2.555555556,3.444444444
42,2,2,3,White,3,1,2.7,0.75,3.75,1.75,3.75,2.75,3,2.666666667,-64.28571429,2.785714286,4.642857143,2.357142857,4.285714286
45,2,2,1,White,6,0,2.8,3,3,2.5,2.5,2.75,2.555555556,4.833333333,-54.28571429,4.428571429,5,4.333333333,5
26,2,1,1,White,4,1,3.6,3.25,2.5,1.25,2.25,2.25,2.777777778,5.083333333,20.07142857,2.928571429,4.142857143,3.214285714,3.714285714
60,2,2,1,White,4,1,1.5,2.5,3.75,3.75,2,3.75,3.222222222,3.166666667,-82.64285714,1.071428571,3.214285714,1.142857143,3.714285714
34,2,2,2,White,4,1,1.2,2,3,1.75,2.75,1.25,2.444444444,4.75,-23.28571429,3.785714286,3.785714286,4,4
62,2,2,2,White,2,0,1,2.25,1.5,3.25,2,4,1.666666667,1,-57.71428571,1,3.142857143,1,3.555555556
35,1,1,1,White,2,0,4.6,2.75,2.25,2.5,2.5,2.25,2.611111111,4.5,95.42857143,6.928571429,6.357142857,6.888888889,6.555555556
69,2,2,1,White,4,0,2,1.25,3.75,3.25,3,1.5,2,4,-58.64285714,1.857142857,3.071428571,2.111111111,3.777777778
22,1,1,4,White,1,0,1.8,2.5,2.5,3.5,3.25,3.25,3.166666667,4.416666667,-17.14285714,3.857142857,4.5,3.777777778,4.666666667
71,2,2,1,White,3,0,1.2,2.5,3.25,3.5,1.5,2.5,2.333333333,6.416666667,-71,1.5,4.928571429,1.444444444,5
61,2,2,3,White,6,1,1.2,1.5,3.75,3.25,1.5,3.5,3.111111111,4.25,-43.35714286,4.571428571,6.214285714,2.357142857,5.214285714
42,2,2,1,White,7,1,4.5,2.25,3.75,2.5,3.25,1.75,2.444444444,7.583333333,-86.14285714,1.928571429,2.142857143,1.142857143,1.285714286
52,2,2,2,White,7,1,2.5,1,4,4.5,2,2.75,2.611111111,7.833333333,-70.14285714,2.071428571,7,2.071428571,7
73,2,2,3,White,6,1,1.7,1.75,4.25,2.75,2.25,3.5,2.944444444,7.083333333,-62.92857143,1.857142857,3.357142857,1.857142857,3.428571429
