Age,Birth Gender,Political Identity,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,Need for Cognition,Religious Fundamentalism,AwareComposite,PersonalRecallComposite,SocialRecallComposite,PersonalInferenceComposite,SocialInferenceComposite,JudgmentComposite
41,1,6,5,3,4,4,3,4,3,5.666666667,6.69047619,2.642857143,7,2.285714286,7,-68
32,2,7,5,3,3,3,3.25,3.5,3.055555556,1.25,5.142857143,1.428571429,4.5,1.428571429,4.571428571,-77.57142857
35,1,4,5,3,4,4.5,2.5,4.5,3.222222222,4.25,3.714285714,3.928571429,2.928571429,3.214285714,2.928571429,62.28571429
18,1,4,5,5,5,4,3,5,4.611111111,1.5,6.285714286,2.285714286,3.142857143,2.285714286,3.142857143,-79.64285714
52,1,4,5,3.25,5,5,3,4.5,3.666666667,7.833333333,1.5,1.5,1.571428571,1.357142857,1.5,-79.92857143
22,2,2,4.8,3.25,3.75,3.25,3.25,2.75,3.611111111,5,6.119047619,2.071428571,2.928571429,2,3.142857143,-65.42857143
23,2,1,4.8,5,5,5,4.5,4.25,3.666666667,5.083333333,5.452380952,3.571428571,4.428571429,3.571428571,4,-18.92857143
45,1,4,4.8,3,3,3,3,2,3,1,4.619047619,3.357142857,3.142857143,3.214285714,3.214285714,-33.71428571
51,2,4,4.6,3,3.75,3.75,4,3,3.611111111,6.75,6.357142857,6.5,6.285714286,6.214285714,6.642857143,-41.42857143
47,2,4,4.6,2.5,3.75,3.25,4.75,3.5,2.666666667,1.666666667,5.595238095,1.785714286,3.5,1.785714286,3.714285714,-53.71428571
37,1,1,4.6,4.25,4.75,3.5,3.25,3,2.666666667,2.083333333,5.857142857,2.285714286,4.071428571,1.857142857,3.571428571,-62.28571429
48,1,4,4.5,3.75,4.25,4.75,2.75,5,1.277777778,9,5.928571429,1,1,1,1,-70.07142857
28,2,4,4.5,3.25,3.5,3,3.5,4,3.055555556,4.833333333,4.30952381,4.285714286,4.642857143,3.857142857,4.857142857,-45.71428571
44,1,1,4.5,3,2.75,2.75,3,2.5,3.055555556,6.75,4.071428571,3.642857143,4.785714286,3.357142857,5,-26.78571429
23,1,2,4.4,2.5,3.25,2.75,2.75,2,4.277777778,3.916666667,5.952380952,2.714285714,4.857142857,1.857142857,4.214285714,-99.92857143
39,1,2,4.4,2.75,3,3.25,2.25,3,3.555555556,5.833333333,6.404761905,1.428571429,5.142857143,1.428571429,4.785714286,-85.57142857
23,2,4,4.4,2.5,3,2.5,4,2,3.222222222,5.583333333,4.30952381,5.5,5.571428571,5.857142857,5.857142857,34.42857143
22,1,5,4.4,2.75,3,3,2.75,2,3.277777778,5.083333333,4.261904762,5.071428571,4.857142857,4.5,4.285714286,-9.071428571
34,1,1,4.3,3,2.75,3.5,3,2.5,1.888888889,6.5,6.166666667,2.571428571,5.214285714,1.214285714,4.142857143,-67
51,1,4,4.3,1.5,4.25,3.25,5,4.25,2.055555556,6.666666667,5.333333333,2.071428571,3.571428571,2.428571429,4,-31.85714286
41,1,3,4.2,3.25,3.25,3.25,2.75,3,4.666666667,4.75,6.30952381,1,5.214285714,1,5.071428571,-39.07142857
19,1,1,4.2,3.5,4.25,3.25,2,4.25,4.111111111,8.5,6.857142857,1,1,1,1,-96.85714286
24,1,4,4.2,3.25,3.25,3.25,3.25,2.25,2.944444444,2.333333333,3.714285714,1.928571429,2.428571429,3.071428571,3.785714286,3.785714286
34,2,3,4.2,3.5,3.25,3.75,2.75,4.25,3.777777778,4.75,7,1,1,1,1,-99.28571429
22,1,4,4.2,2.75,3,3.25,3,3,3.277777778,5.083333333,4.833333333,5.785714286,5.285714286,5.928571429,5.428571429,68
34,1,2,4.2,3,3.25,2.5,3.25,3,3.055555556,4.833333333,4.928571429,6.785714286,5.857142857,6.285714286,5.714285714,70.42857143
50,2,6,4.1,3,3.5,3.75,3.75,2,3.944444444,6.166666667,6.642857143,1,7,1,7,-92.78571429
39,2,1,3.9,3.5,4.25,3.25,4.25,3.75,3.722222222,6.416666667,5.904761905,2,3.285714286,1.214285714,1.785714286,-62.64285714
27,1,1,3.9,3.25,3,2.75,3.25,2.5,3.388888889,5.25,5.571428571,1.571428571,2.714285714,1.5,2.857142857,-52
33,2,1,3.9,4.25,4.25,3.75,2.75,4.25,3.166666667,2.833333333,6.119047619,1,1.428571429,1.071428571,1.071428571,-78.07142857
57,2,5,3.8,2.25,3.5,2,4.5,2.5,3.222222222,5.583333333,5.452380952,1.5,3.214285714,1.571428571,3.785714286,-42.92857143
28,2,3,3.8,3.5,4.25,3.25,3.5,4.25,3.388888889,4.416666667,5.452380952,2.642857143,2.5,2.571428571,2.714285714,-73
23,1,6,3.8,1.25,3.5,2.5,4,2.5,3.555555556,3.25,5.19047619,1.714285714,7,2,6.857142857,-98.35714286
40,1,4,3.8,3.25,2.75,3.25,2.75,3,3.888888889,7.333333333,6.476190476,1.357142857,2.428571429,1.428571429,2.571428571,-74.07142857
32,2,7,3.8,3.25,2.75,2.75,3.25,2.5,3,5.666666667,4.30952381,5.857142857,6.5,5.928571429,6.5,53.64285714
27,1,4,3.8,2,4,4,1.5,3.75,2.944444444,5.833333333,3.976190476,2.571428571,3.928571429,2.785714286,3.857142857,-59.42857143
26,1,4,3.8,4.5,3.5,3.25,2.75,4,3.055555556,5,5.333333333,1.928571429,3.214285714,2.071428571,3.285714286,-53.35714286
33,2,5,3.8,3.75,5,3,4.5,5,2.833333333,6.75,6,1.428571429,3.714285714,1.428571429,3,-61.42857143
38,1,3,3.7,4,4.25,4.25,3.25,3.75,3.388888889,7.75,6.142857143,1,5.5,1.857142857,6.142857143,-4.5
31,1,6,3.7,3.75,4.25,3.75,3.5,3.25,2,6,6.047619048,2.428571429,2.5,2.214285714,2.642857143,-84.92857143
26,2,1,3.6,3.5,3.5,3.25,3.75,2.75,3.444444444,2.333333333,5.19047619,2,3.571428571,1.928571429,4,-32.57142857
40,1,4,3.6,3,2.75,3,3.25,2.5,3.055555556,5.166666667,4.785714286,6.5,6.428571429,6.142857143,6.428571429,75.07142857
76,1,2,3.6,2.25,3.75,4.25,1.25,3,1.388888889,4.833333333,4.095238095,1.928571429,3.928571429,1.714285714,4,-28.14285714
36,1,3,3.6,3,4.75,4,1.5,4,3,5.333333333,4.69047619,6,5.785714286,6,5.642857143,70.85714286
37,1,1,3.6,4.75,4.25,1.75,5,5,4.055555556,5.083333333,5.642857143,3.285714286,5.428571429,2.285714286,3.357142857,-50.85714286
63,1,3,3.6,2.25,1.25,4.75,3.75,2,4.611111111,5.5,6.166666667,1,1,1,1,-91.35714286
18,2,4,3.6,2.25,2.5,3,4,4.25,3.722222222,5.166666667,3.928571429,3,4.071428571,2.928571429,4.071428571,7.714285714
